 ,,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12
Shenandoah County, Virginia,47,426,0,0,0,0
Smyth County, Virginia,17,375,67,0,0,0
Southampton County, Virginia,3,142,127,0,0,0
Spotsylvania County, Virginia,77,1726,346,0,37,0
Stafford County, Virginia,285,1205,595,0,131,10
Surry County, Virginia,4,11,50,0,0,0
Sussex County, Virginia,28,74,204,17,0,0
Tazewell County, Virginia,0,326,0,0,0,0
Warren County, Virginia,3,340,19,0,0,0
Washington County, Virginia,0,605,9,0,0,0
Westmoreland County, Virginia,0,96,92,0,0,0
Wise County, Virginia,0,600,5,0,0,0
Wythe County, Virginia,0,338,0,0,0,0
York County, Virginia,75,770,114,0,88,0
Alexandria city, Virginia,246,460,289,0,112,0
Bedford city, Virginia,0,62,8,0,0,0
Bristol city, Virginia,4,245,24,4,0,0
Buena Vista city, Virginia,0,103,0,0,0,0
Charlottesville city, Virginia,40,188,290,0,7,0
Chesapeake city, Virginia,89,1913,1458,0,18,0
Colonial Heights city, Virginia,64,209,95,30,0,0
Covington city, Virginia,0,69,0,0,0,0
Danville city, Virginia,3,114,504,0,0,0
Emporia city, Virginia,0,8,55,0,0,0
Fairfax city, Virginia,69,191,39,0,31,0
Falls Church city, Virginia,11,112,0,0,0,0
Franklin city, Virginia,0,14,78,0,0,0
Fredericksburg city, Virginia,30,114,80,0,0,0
Galax city, Virginia,0,103,5,0,0,0
Hampton city, Virginia,101,555,969,0,32,0
Harrisonburg city, Virginia,174,160,76,0,44,0
Hopewell city, Virginia,0,111,70,0,12,0
Lexington city, Virginia,0,54,22,0,3,0
Lynchburg city, Virginia,0,433,354,0,12,0
Manassas city, Virginia,118,266,49,0,34,0
Manassas Park city, Virginia,154,97,32,0,13,0
Martinsville city, Virginia,32,94,84,0,0,0
Newport News city, Virginia,164,755,1479,3,26,0
Norfolk city, Virginia,166,718,1556,9,72,85
Norton city, Virginia,0,74,14,0,0,0
Petersburg city, Virginia,10,42,481,0,0,0
Poquoson city, Virginia,38,213,0,0,0,0
Portsmouth city, Virginia,0,465,677,0,13,0
Radford city, Virginia,0,93,0,0,0,0
Richmond city, Virginia,60,245,1542,0,7,0
Roanoke city, Virginia,6,299,521,11,37,0
Salem city, Virginia,12,272,41,0,0,0
Staunton city, Virginia,18,251,32,0,0,0
Suffolk city, Virginia,7,519,687,0,0,0
Virginia Beach city, Virginia,575,2791,1689,31,323,18
Waynesboro city, Virginia,0,159,63,0,0,0
Williamsburg city, Virginia,0,52,0,0,9,0
Winchester city, Virginia,28,107,31,0,0,0
Adams County, Washington,207,117,0,0,2,0
Asotin County, Washington,20,263,2,0,13,0
Benton County, Washington,962,1747,6,33,214,16
Chelan County, Washington,480,777,5,0,0,0
Clallam County, Washington,151,701,12,74,57,0
Clark County, Washington,645,5235,148,124,163,27
Columbia County, Washington,17,51,0,10,0,0
Cowlitz County, Washington,92,1185,0,2,38,0
Douglas County, Washington,235,315,0,0,0,0
Ferry County, Washington,9,149,1,54,0,0
Franklin County, Washington,817,429,12,6,33,0
Garfield County, Washington,43,25,0,0,0,0
Grant County, Washington,696,544,18,1,73,0
Grays Harbor County, Washington,155,805,35,83,61,28
Island County, Washington,108,713,0,0,43,0
Jefferson County, Washington,14,334,24,6,0,0
King County, Washington,2653,12807,2375,307,3005,292
Kitsap County, Washington,426,2553,166,73,151,105
Kittitas County, Washington,35,302,0,5,74,0
Klickitat County, Washington,41,315,0,13,0,0
Lewis County, Washington,89,901,22,23,0,1
Lincoln County, Washington,0,187,0,0,0,0
Mason County, Washington,38,529,5,17,15,0
Okanogan County, Washington,226,384,1,135,0,0
Pacific County, Washington,73,192,2,4,0,4
Pend Oreille County, Washington,0,188,0,12,0,0
Pierce County, Washington,1850,8129,904,122,811,218
San Juan County, Washington,0,190,0,0,12,0
Skagit County, Washington,481,1078,12,38,33,19
Skamania County, Washington,12,96,0,30,0,0
Snohomish County, Washington,1593,7710,200,110,908,21
Spokane County, Washington,446,4266,173,142,122,88
Stevens County, Washington,33,542,0,10,0,0
Thurston County, Washington,564,2535,151,42,140,135
Wahkiakum County, Washington,0,68,0,0,5,0
Walla Walla County, Washington,287,616,4,100,0,19
Whatcom County, Washington,475,1919,31,158,175,0
Whitman County, Washington,16,217,11,4,24,0
Yakima County, Washington,2755,1224,126,108,56,0
Barbour County, West Virginia,0,215,0,0,0,0
Berkeley County, West Virginia,91,1002,217,0,19,0
Boone County, West Virginia,0,252,23,0,0,0
Braxton County, West Virginia,3,146,0,0,0,0
Brooke County, West Virginia,17,324,0,0,0,0
Cabell County, West Virginia,0,799,89,0,24,0
Calhoun County, West Virginia,0,77,3,0,0,0
Clay County, West Virginia,0,133,0,0,0,0
Doddridge County, West Virginia,0,134,0,0,0,0
Fayette County, West Virginia,0,500,80,17,0,0
Gilmer County, West Virginia,0,41,44,0,0,0
Grant County, West Virginia,0,242,0,0,0,0
Greenbrier County, West Virginia,27,379,17,0,0,0
Hampshire County, West Virginia,7,239,27,0,0,0
Hancock County, West Virginia,0,431,22,0,0,0
Hardy County, West Virginia,0,239,0,0,0,0
Harrison County, West Virginia,11,869,0,0,16,0
Jackson County, West Virginia,0,304,0,0,0,0
Jefferson County, West Virginia,14,375,175,0,55,0
Kanawha County, West Virginia,48,1604,170,0,47,0
Lewis County, West Virginia,0,155,3,0,0,0
Lincoln County, West Virginia,0,184,0,0,0,0
Logan County, West Virginia,0,395,1,0,0,0
McDowell County, West Virginia,0,175,20,0,0,0
Marion County, West Virginia,0,725,30,0,0,0
Marshall County, West Virginia,8,358,2,0,0,0
Mason County, West Virginia,0,217,134,0,0,0
Mercer County, West Virginia,0,491,38,0,0,0
Mineral County, West Virginia,0,220,0,0,0,0
Mingo County, West Virginia,0,388,16,0,0,0
Monongalia County, West Virginia,11,636,42,0,60,0
Monroe County, West Virginia,0,196,0,0,0,0
Morgan County, West Virginia,0,226,0,0,3,0
Nicholas County, West Virginia,0,373,0,92,0,0
Ohio County, West Virginia,0,486,27,0,0,0
Pendleton County, West Virginia,0,97,0,0,0,0
Pleasants County, West Virginia,0,158,0,0,0,0
Pocahontas County, West Virginia,0,93,0,0,0,0
Preston County, West Virginia,0,307,51,1,0,0
Putnam County, West Virginia,11,496,0,0,0,0
Raleigh County, West Virginia,23,477,220,0,0,0
Randolph County, West Virginia,20,306,7,0,0,0
Ritchie County, West Virginia,0,178,9,0,0,0
Roane County, West Virginia,0,136,0,0,0,0
Summers County, West Virginia,0,105,51,0,0,0
Taylor County, West Virginia,0,156,5,4,0,0
Tucker County, West Virginia,0,74,0,0,0,0
Tyler County, West Virginia,1,172,3,0,0,0
Upshur County, West Virginia,0,200,0,0,0,0
Wayne County, West Virginia,10,442,0,0,0,0
Webster County, West Virginia,0,78,0,0,0,0
Wetzel County, West Virginia,0,140,0,0,0,0
Wirt County, West Virginia,0,122,0,0,0,0
Wood County, West Virginia,11,814,0,0,8,0
Wyoming County, West Virginia,0,213,0,0,0,0
Adams County, Wisconsin,25,186,31,0,0,0
Ashland County, Wisconsin,0,156,0,44,6,0
Barron County, Wisconsin,10,512,18,30,0,0
Bayfield County, Wisconsin,1,150,0,34,0,0
Brown County, Wisconsin,566,2889,30,166,131,0
Buffalo County, Wisconsin,0,228,0,4,2,0
Burnett County, Wisconsin,7,127,1,5,0,0
Calumet County, Wisconsin,63,831,0,15,20,0
Chippewa County, Wisconsin,8,714,58,0,0,0
Clark County, Wisconsin,16,400,1,4,0,0
Columbia County, Wisconsin,22,886,25,6,19,0
Crawford County, Wisconsin,23,209,16,0,8,0
Dane County, Wisconsin,540,4196,600,5,298,19
Dodge County, Wisconsin,122,1310,108,6,15,0
Door County, Wisconsin,5,261,4,0,0,0
Douglas County, Wisconsin,3,500,14,2,7,0
Dunn County, Wisconsin,5,447,3,0,33,0
Eau Claire County, Wisconsin,33,1002,9,8,52,0
Florence County, Wisconsin,0,64,0,0,0,0
Fond du Lac County, Wisconsin,189,1336,2,5,5,0
Forest County, Wisconsin,3,129,0,54,0,0
Grant County, Wisconsin,28,386,6,0,13,0
Green County, Wisconsin,3,450,24,9,8,0
Green Lake County, Wisconsin,23,186,0,0,0,0
Iowa County, Wisconsin,10,363,0,0,0,0
Iron County, Wisconsin,0,77,0,0,0,0
Jackson County, Wisconsin,15,208,0,29,21,0
Jefferson County, Wisconsin,115,933,3,3,0,0
Juneau County, Wisconsin,11,440,46,0,0,0
Kenosha County, Wisconsin,471,2206,379,0,37,0
Kewaunee County, Wisconsin,19,276,3,0,2,0
La Crosse County, Wisconsin,23,952,36,6,116,0
Lafayette County, Wisconsin,4,207,1,0,0,0
Langlade County, Wisconsin,8,258,0,0,0,0
Lincoln County, Wisconsin,0,452,2,0,3,0
Manitowoc County, Wisconsin,26,1076,1,4,52,0
Marathon County, Wisconsin,94,1603,20,13,236,0
Marinette County, Wisconsin,3,491,0,7,0,0
Marquette County, Wisconsin,0,178,0,0,5,0
Menominee County, Wisconsin,0,1,0,62,0,0
Milwaukee County, Wisconsin,2273,4599,5573,96,529,0
Monroe County, Wisconsin,35,677,59,9,5,0
Oconto County, Wisconsin,7,619,0,9,3,0
Oneida County, Wisconsin,12,498,27,0,46,0
Outagamie County, Wisconsin,129,2110,30,53,195,0
Ozaukee County, Wisconsin,32,1163,7,0,66,0
Pepin County, Wisconsin,0,100,0,0,0,0
Pierce County, Wisconsin,13,436,0,37,0,0
Polk County, Wisconsin,5,620,0,2,0,0
Portage County, Wisconsin,27,712,0,0,52,0
Price County, Wisconsin,0,129,0,0,0,0
Racine County, Wisconsin,386,1974,471,0,37,0
Richland County, Wisconsin,0,214,0,0,0,0
Rock County, Wisconsin,167,1667,78,9,28,11
Rusk County, Wisconsin,5,161,0,1,0,0
St. Croix County, Wisconsin,62,1092,26,6,46,0
Sauk County, Wisconsin,40,636,3,27,15,0
Sawyer County, Wisconsin,0,172,0,51,0,0
Shawano County, Wisconsin,6,511,0,23,0,0
Sheboygan County, Wisconsin,199,1335,109,6,128,0
Taylor County, Wisconsin,2,300,0,0,0,0
Trempealeau County, Wisconsin,30,384,0,0,4,0
Vernon County, Wisconsin,4,462,7,0,2,0
Vilas County, Wisconsin,1,263,5,47,3,0
Walworth County, Wisconsin,246,1319,39,19,33,0
Washburn County, Wisconsin,1,169,8,20,0,0
Washington County, Wisconsin,152,1737,46,0,9,0
Waukesha County, Wisconsin,476,5282,122,0,104,0
Waupaca County, Wisconsin,25,645,3,9,0,0
Waushara County, Wisconsin,40,295,40,0,18,0
Winnebago County, Wisconsin,98,1619,137,30,96,0
Wood County, Wisconsin,14,1015,19,32,30,0
Albany County, Wyoming,86,181,0,3,0,0
Big Horn County, Wyoming,48,153,0,2,0,0
Campbell County, Wyoming,10,417,20,22,6,0
Carbon County, Wyoming,31,159,0,0,0,3
Converse County, Wyoming,1,124,0,0,0,0
Crook County, Wyoming,0,182,0,0,0,0
Fremont County, Wyoming,18,239,5,121,0,0
Goshen County, Wyoming,15,133,0,5,0,0
Hot Springs County, Wyoming,0,46,0,0,0,0
Johnson County, Wyoming,0,118,0,0,0,0
Laramie County, Wyoming,203,1147,43,11,16,0
Lincoln County, Wyoming,0,229,0,0,6,0
Natrona County, Wyoming,59,985,0,0,0,0
Niobrara County, Wyoming,13,45,0,5,0,0
Park County, Wyoming,14,149,0,0,10,0
Platte County, Wyoming,1,100,0,0,0,0
Sheridan County, Wyoming,0,239,0,0,36,0
Sublette County, Wyoming,0,106,0,0,0,0
Sweetwater County, Wyoming,169,511,0,0,0,0
Teton County, Wyoming,62,171,0,0,0,0
Uinta County, Wyoming,31,246,0,0,0,0
Washakie County, Wyoming,4,136,0,0,0,0
Weston County, Wyoming,64,149,0,3,0,0
Adjuntas Municipio, Puerto Rico,415,0,0,0,0,0
Aguada Municipio, Puerto Rico,565,38,12,0,0,0
Aguadilla Municipio, Puerto Rico,874,21,0,0,0,0
Aguas Buenas Municipio, Puerto Rico,453,0,0,0,0,0
Aibonito Municipio, Puerto Rico,386,0,44,0,0,0
Anasco Municipio, Puerto Rico,391,0,25,0,0,0
Arecibo Municipio, Puerto Rico,1463,10,33,0,22,0
Arroyo Municipio, Puerto Rico,429,0,135,0,0,0
Barceloneta Municipio, Puerto Rico,334,0,0,0,0,0
Barranquitas Municipio, Puerto Rico,607,0,20,0,0,0
Bayamon Municipio, Puerto Rico,2801,18,227,8,9,0
Cabo Rojo Municipio, Puerto Rico,728,0,0,0,0,0
Caguas Municipio, Puerto Rico,2235,0,203,24,0,0
Camuy Municipio, Puerto Rico,660,0,0,0,0,0
Canovanas Municipio, Puerto Rico,584,0,93,0,0,0
Carolina Municipio, Puerto Rico,2182,0,371,43,20,0
Catano Municipio, Puerto Rico,394,0,20,0,0,0
Cayey Municipio, Puerto Rico,519,0,0,0,0,0
Ceiba Municipio, Puerto Rico,245,0,11,0,23,0
Ciales Municipio, Puerto Rico,371,0,1,0,0,0
Cidra Municipio, Puerto Rico,451,6,22,11,0,0
Coamo Municipio, Puerto Rico,595,0,17,0,0,0
Comerio Municipio, Puerto Rico,255,0,22,0,0,0
Corozal Municipio, Puerto Rico,441,0,0,0,0,0
Culebra Municipio, Puerto Rico,15,0,0,0,0,0
Dorado Municipio, Puerto Rico,717,0,134,0,0,0
Fajardo Municipio, Puerto Rico,477,0,41,0,0,0
Florida Municipio, Puerto Rico,244,0,0,0,0,0
Guanica Municipio, Puerto Rico,264,14,14,0,0,0
Guayama Municipio, Puerto Rico,1297,0,113,0,0,0
Guayanilla Municipio, Puerto Rico,322,0,37,0,0,0
Guaynabo Municipio, Puerto Rico,1142,12,41,9,0,0
Gurabo Municipio, Puerto Rico,748,15,69,0,0,0
Hatillo Municipio, Puerto Rico,342,0,16,0,0,0
Hormigueros Municipio, Puerto Rico,256,0,0,0,0,0
Humacao Municipio, Puerto Rico,496,0,37,0,22,0
Isabela Municipio, Puerto Rico,609,10,33,28,0,0
Jayuya Municipio, Puerto Rico,178,0,0,0,0,0
Juana Diaz Municipio, Puerto Rico,903,0,40,0,0,0
Juncos Municipio, Puerto Rico,654,0,10,0,0,0
Lajas Municipio, Puerto Rico,444,0,0,0,0,0
Lares Municipio, Puerto Rico,458,10,5,0,0,0
Las Marias Municipio, Puerto Rico,229,0,0,0,0,0
Las Piedras Municipio, Puerto Rico,726,0,28,0,0,0
Loiza Municipio, Puerto Rico,309,0,74,0,0,0
Luquillo Municipio, Puerto Rico,330,0,11,0,0,0
Manati Municipio, Puerto Rico,674,0,42,0,0,0
Maricao Municipio, Puerto Rico,93,0,3,0,0,0
Maunabo Municipio, Puerto Rico,244,0,55,0,0,0
Mayaguez Municipio, Puerto Rico,1130,62,28,0,0,0
Moca Municipio, Puerto Rico,825,18,0,0,0,0
Morovis Municipio, Puerto Rico,350,0,28,0,0,0
Naguabo Municipio, Puerto Rico,429,0,15,0,0,0
Naranjito Municipio, Puerto Rico,461,0,14,0,0,0
Orocovis Municipio, Puerto Rico,224,0,30,0,0,0
Patillas Municipio, Puerto Rico,429,0,67,0,0,0
Penuelas Municipio, Puerto Rico,384,8,25,18,0,0
Ponce Municipio, Puerto Rico,2363,0,75,0,0,0
Quebradillas  Municipio, Puerto Rico,363,0,30,0,0,0
Rincon  Municipio, Puerto Rico,157,0,6,0,0,0
Rio Grande Municipio, Puerto Rico,756,0,157,0,0,0
Sabana Grande Municipio, Puerto Rico,411,8,46,0,0,0
Salinas Municipio, Puerto Rico,690,0,0,0,0,0
San German Municipio, Puerto Rico,401,0,9,0,0,0
San Juan Municipio, Puerto Rico,5313,116,990,33,19,0
San Lorenzo Municipio, Puerto Rico,672,0,45,0,0,0
San Sebastian Municipio, Puerto Rico,701,0,28,0,0,0
Santa Isabel Municipio, Puerto Rico,545,0,32,0,0,0
Toa Alta Municipio, Puerto Rico,1449,0,106,0,0,0
Toa Baja Municipio, Puerto Rico,1319,0,89,9,0,0
Trujillo Alto Municipio, Puerto Rico,942,0,66,0,0,0
Utuado Municipio, Puerto Rico,472,0,13,0,0,0
Vega Alta Municipio, Puerto Rico,555,0,51,0,0,0
Vega Baja Municipio, Puerto Rico,762,60,36,0,0,0
Vieques Municipio, Puerto Rico,25,0,12,0,0,0
Villalba Municipio, Puerto Rico,312,0,9,0,0,0
Yabucoa Municipio, Puerto Rico,718,0,94,0,0,0
Yauco Municipio, Puerto Rico,702,0,26,0,0,0
Universe: (COMPONENT in (00)) AND (((SUMLEVEL in (50)))),,,,,,,
Weight used: ,,,,,,,
DataSet(s) selected: 2009-2013,,,,,,,
Source: ACS 5-Year Summary File,,,,,,,
